% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 89.26    2.276135        1360      1673        86 futex
  3.16    0.080691         831        97           poll
  2.98    0.076070         148       511           clock_gettime
  1.68    0.042825       42825         1           execve
  0.69    0.017571         532        33           mmap
  0.67    0.017004        3400         5           clone3
  0.37    0.009560         258        37           ioctl
  0.21    0.005396         256        21           rt_sigprocmask
  0.21    0.005296         331        16           mprotect
  0.19    0.004781         531         9           munmap
  0.13    0.003345         557         6           rseq
  0.09    0.002416         402         6           set_robust_list
  0.08    0.002088         348         6           openat
  0.06    0.001485         297         5           madvise
  0.05    0.001390        1390         1           write
  0.04    0.000949         158         6           fstat
  0.03    0.000789         131         6           close
  0.02    0.000494         164         3           brk
  0.02    0.000464         116         4           read
  0.02    0.000417         417         1         1 access
  0.01    0.000331         331         1           rt_sigaction
  0.01    0.000226         113         2           pread64
  0.01    0.000217         217         1           prlimit64
  0.00    0.000018          18         1           getrandom
  0.00    0.000000           0         1           arch_prctl
  0.00    0.000000           0         1           set_tid_address
------ ----------- ----------- --------- --------- ----------------
100.00    2.549958        1039      2454        87 total
